Detection Run 1
#Info# Executed steps before collision: 8, Found collision: false
Turtle 1 :[(-1,-1), (4,6), (5,6), (6,6), (6,5), (6,4), (-1,-1), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (2,6), (2,5), (2,4), (1,4), (0,4), (0,3), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (2,8), (3,8), (4,8), (5,8), (5,7), (6,7), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (7,8), (7,9), (7,9), (8,9), (9,9), (9,9), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (9,6), (9,6), (9,7), (8,7), (9,7), (9,6), (9,7), (9,8)]

Fault Detection Run 2
#Info# Executed steps before collision: 3, Found collision: true
Turtle 1 :[(-1,-1), (6,4), (6,5), (6,6), (7,6), (8,6), (7,6), (7,7), (-1,-1)]
Turtle 2 :[(-2,-2), (8,4), (8,5), (8,6), (8,7), (7,7), (6,7), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (0,1), (0,1), (1,1), (1,2), (1,1), (1,0), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (9,5), (9,6), (8,6), (7,6), (7,7), (-4,-4), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (8,8), (8,7), (9,7), (9,8), (9,7), (9,6), (9,5), (9,4)]

