Detection Run 1
#Info# Executed steps before collision: 8, Found collision: false
Turtle 1 :[(-1,-1), (8,8), (8,9), (8,10), (8,11), (8,12), (8,13), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (7,11), (7,12), (7,13), (7,14), (6,14), (-2,-2), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (7,3), (7,2), (7,1), (6,1), (6,0), (-3,-3), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (-4,-4), (-4,-4), (7,11), (7,12), (7,11), (8,11), (7,11), (8,11)]
Turtle 5 :[(-5,-5), (12,5), (11,5), (10,5), (9,5), (9,6), (9,7), (-5,-5), (-5,-5)]

Detection Run 2
#Info# Executed steps before collision: 10, Found collision: false
Turtle 1 :[(-1,-1), (12,14), (11,14), (10,14), (9,14), (9,14), (8,14), (-1,-1), (-1,-1), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (9,13), (9,14), (8,14), (8,13), (8,13), (8,12), (9,12), (10,12), (10,13), (10,14)]
Turtle 3 :[(-3,-3), (14,14), (14,13), (14,12), (13,12), (-3,-3), (-3,-3), (-3,-3), (-3,-3), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (8,1), (8,0), (9,0), (10,0), (11,0), (-4,-4), (-4,-4), (-4,-4), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (-5,-5), (-5,-5), (9,13), (9,12), (9,11), (10,11), (-5,-5), (-5,-5), (-5,-5), (-5,-5)]

Detection Run 3
#Info# Executed steps before collision: 6, Found collision: false
Turtle 1 :[(-1,-1), (12,0), (11,0), (10,0), (10,1), (9,1), (8,1)]
Turtle 2 :[(-2,-2), (8,14), (7,14), (6,14), (5,14), (4,14), (-2,-2)]
Turtle 3 :[(-3,-3), (6,12), (5,12), (-3,-3), (-3,-3), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (0,8), (0,9), (0,8), (0,7), (0,8), (0,7)]
Turtle 5 :[(-5,-5), (4,11), (3,11), (3,12), (2,12), (-5,-5), (-5,-5)]

Fault Detection Run 4
#Info# Executed steps before collision: 6, Found collision: true
Turtle 1 :[(-1,-1), (8,7), (8,6), (7,6), (7,5), (7,4), (6,4)]
Turtle 2 :[(-2,-2), (13,10), (12,10), (11,10), (11,9), (11,8), (11,7)]
Turtle 3 :[(-3,-3), (6,11), (7,11), (8,11), (8,10), (8,9), (8,8)]
Turtle 4 :[(-4,-4), (2,7), (2,8), (1,8), (0,8), (0,9), (-4,-4)]
Turtle 5 :[(-5,-5), (4,7), (5,7), (5,8), (6,8), (7,8), (8,8)]

