Detection Run 1
#Info# Executed steps before collision: 6, Found collision: false
Turtle 1 :[(-1,-1), (5,13), (6,13), (5,13), (5,14), (5,14), (-1,-1)]
Turtle 2 :[(-2,-2), (12,11), (13,11), (13,12), (14,12), (14,13), (14,13)]
Turtle 3 :[(-3,-3), (6,9), (5,9), (4,9), (3,9), (2,9), (1,9)]
Turtle 4 :[(-4,-4), (0,14), (0,13), (0,12), (0,11), (0,10), (-4,-4)]
Turtle 5 :[(-5,-5), (9,0), (8,0), (7,0), (6,0), (5,0), (4,0)]

Fault Detection Run 2
#Info# Executed steps before collision: 4, Found collision: true
Turtle 1 :[(-1,-1), (8,12), (7,12), (6,12), (6,11), (5,11), (4,11)]
Turtle 2 :[(-2,-2), (9,3), (9,2), (8,2), (8,1), (8,0), (7,0)]
Turtle 3 :[(-3,-3), (5,3), (5,2), (6,2), (6,1), (6,0), (-3,-3)]
Turtle 4 :[(-4,-4), (4,12), (4,11), (5,11), (6,11), (6,10), (7,10)]
Turtle 5 :[(-5,-5), (2,6), (1,6), (1,7), (0,7), (0,8), (-5,-5)]

