Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
z3,3,10,10,1,0,0
z3,3,10,10,5,15,15
z3,3,10,10,10,15,15
z3,3,10,10,15,15,15
z3,3,10,10,20,15,15
z3,3,10,15,1,12,9
z3,3,10,15,5,15,15
z3,3,10,15,10,15,15
z3,3,10,15,15,15,15
z3,3,10,15,20,15,15
z3,3,10,20,1,15,14
z3,3,10,20,5,15,15
z3,3,10,20,10,15,15
z3,3,10,20,15,15,15
z3,3,10,20,20,15,15
z3,3,15,10,1,0,0
z3,3,15,10,5,15,14
z3,3,15,10,10,15,15
z3,3,15,10,15,15,15
z3,3,15,10,20,15,15
z3,3,15,15,1,15,12
z3,3,15,15,5,15,15
z3,3,15,15,10,15,15
z3,3,15,15,15,15,15
z3,3,15,15,20,15,15
z3,3,15,20,1,15,15
z3,3,15,20,5,15,15
z3,3,15,20,10,15,15
z3,3,15,20,15,15,15
z3,3,15,20,20,15,15
z3,3,20,10,1,0,0
z3,3,20,10,5,15,14
z3,3,20,10,10,15,15
z3,3,20,10,15,15,15
z3,3,20,10,20,15,15
z3,3,20,15,1,15,11
z3,3,20,15,5,15,15
z3,3,20,15,10,15,15
z3,3,20,15,15,15,15
z3,3,20,15,20,15,15
z3,3,20,20,1,15,15
z3,3,20,20,5,15,15
z3,3,20,20,10,15,15
z3,3,20,20,15,15,15
z3,3,20,20,20,15,15
z3,3,50,10,1,0,0
z3,3,50,10,5,15,14
z3,3,50,10,10,15,15
z3,3,50,10,15,15,15
z3,3,50,10,20,15,15
z3,3,50,15,1,15,11
z3,3,50,15,5,15,15
z3,3,50,15,10,15,15
z3,3,50,15,15,15,15
z3,3,50,15,20,15,15
z3,3,50,20,1,15,14
z3,3,50,20,5,15,15
z3,3,50,20,10,15,15
z3,3,50,20,15,15,15
z3,3,50,20,20,15,15
z3,5,10,10,1,0,0
z3,5,10,10,5,15,15
z3,5,10,10,10,15,15
z3,5,10,10,15,15,15
z3,5,10,10,20,15,15
z3,5,10,15,1,15,11
z3,5,10,15,5,15,15
z3,5,10,15,10,15,15
z3,5,10,15,15,15,15
z3,5,10,15,20,15,15
z3,5,10,20,1,15,15
z3,5,10,20,5,15,15
z3,5,10,20,10,15,15
z3,5,10,20,15,15,15
z3,5,10,20,20,15,15
z3,5,15,10,1,0,0
z3,5,15,10,5,15,15
z3,5,15,10,10,15,15
z3,5,15,10,15,15,15
z3,5,15,10,20,15,15
z3,5,15,15,1,15,10
z3,5,15,15,5,15,15
z3,5,15,15,10,15,15
z3,5,15,15,15,15,15
z3,5,15,15,20,15,15
z3,5,15,20,1,15,15
z3,5,15,20,5,15,15
z3,5,15,20,10,15,15
z3,5,15,20,15,15,15
z3,5,15,20,20,15,15
z3,5,20,10,1,0,0
z3,5,20,10,5,15,15
z3,5,20,10,10,15,15
z3,5,20,10,15,15,15
z3,5,20,10,20,15,15
z3,5,20,15,1,15,12
z3,5,20,15,5,15,15
z3,5,20,15,10,15,15
z3,5,20,15,15,15,15
z3,5,20,15,20,15,15
z3,5,20,20,1,15,15
z3,5,20,20,5,15,15
z3,5,20,20,10,15,15
z3,5,20,20,15,15,15
z3,5,20,20,20,15,15
z3,5,50,10,1,0,0
z3,5,50,10,5,15,15
z3,5,50,10,10,15,15
z3,5,50,10,15,15,15
z3,5,50,10,20,15,15
z3,5,50,15,1,15,11
z3,5,50,15,5,15,15
z3,5,50,15,10,15,15
z3,5,50,15,15,15,15
z3,5,50,15,20,15,15
z3,5,50,20,1,15,15
z3,5,50,20,5,15,15
z3,5,50,20,10,15,15
z3,5,50,20,15,15,15
z3,5,50,20,20,15,15
z3,8,10,10,1,0,1
z3,8,10,10,5,15,14
z3,8,10,10,10,15,15
z3,8,10,10,15,15,15
z3,8,10,10,20,15,15
z3,8,10,15,1,12,9
z3,8,10,15,5,15,15
z3,8,10,15,10,15,15
z3,8,10,15,15,15,15
z3,8,10,15,20,15,15
z3,8,10,20,1,15,15
z3,8,10,20,5,15,15
z3,8,10,20,10,15,15
z3,8,10,20,15,15,15
z3,8,10,20,20,15,15
z3,8,15,10,1,0,0
z3,8,15,10,5,15,15
z3,8,15,10,10,15,15
z3,8,15,10,15,15,15
z3,8,15,10,20,15,15
z3,8,15,15,1,15,9
z3,8,15,15,5,15,15
z3,8,15,15,10,15,15
z3,8,15,15,15,15,15
z3,8,15,15,20,15,15
z3,8,15,20,1,15,15
z3,8,15,20,5,15,15
z3,8,15,20,10,15,15
z3,8,15,20,15,15,15
z3,8,15,20,20,15,15
z3,8,20,10,1,0,0
z3,8,20,10,5,15,15
z3,8,20,10,10,15,15
z3,8,20,10,15,15,15
z3,8,20,10,20,15,15
z3,8,20,15,1,15,10
z3,8,20,15,5,15,15
z3,8,20,15,10,15,15
z3,8,20,15,15,15,15
z3,8,20,15,20,15,15
z3,8,20,20,1,15,15
z3,8,20,20,5,15,15
z3,8,20,20,10,15,15
z3,8,20,20,15,15,15
z3,8,20,20,20,15,15
z3,8,50,10,1,0,0
z3,8,50,10,5,15,15
z3,8,50,10,10,15,15
z3,8,50,10,15,15,15
z3,8,50,10,20,15,15
z3,8,50,15,1,15,12
z3,8,50,15,5,15,15
z3,8,50,15,10,15,15
z3,8,50,15,15,15,15
z3,8,50,15,20,15,15
z3,8,50,20,1,15,15
z3,8,50,20,5,15,15
z3,8,50,20,10,15,15
z3,8,50,20,15,15,15
z3,8,50,20,20,15,15
