Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,3,10,10,1,0,0
erlang,3,10,10,5,0,0
erlang,3,10,10,10,0,0
erlang,3,10,10,15,0,0
erlang,3,10,10,20,0,0
erlang,3,10,15,1,0,0
erlang,3,10,15,5,0,0
erlang,3,10,15,10,0,0
erlang,3,10,15,15,0,0
erlang,3,10,15,20,0,0
erlang,3,10,20,1,0,0
erlang,3,10,20,5,0,0
erlang,3,10,20,10,0,0
erlang,3,10,20,15,0,0
erlang,3,10,20,20,0,0
erlang,3,15,10,1,0,0
erlang,3,15,10,5,0,0
erlang,3,15,10,10,0,0
erlang,3,15,10,15,0,0
erlang,3,15,10,20,0,0
erlang,3,15,15,1,0,0
erlang,3,15,15,5,0,0
erlang,3,15,15,10,0,0
erlang,3,15,15,15,0,0
erlang,3,15,15,20,0,0
erlang,3,15,20,1,0,0
erlang,3,15,20,5,0,0
erlang,3,15,20,10,0,0
erlang,3,15,20,15,0,0
erlang,3,15,20,20,0,0
erlang,3,20,10,1,0,0
erlang,3,20,10,5,0,0
erlang,3,20,10,10,0,0
erlang,3,20,10,15,0,0
erlang,3,20,10,20,0,0
erlang,3,20,15,1,0,0
erlang,3,20,15,5,0,0
erlang,3,20,15,10,0,0
erlang,3,20,15,15,0,0
erlang,3,20,15,20,0,0
erlang,3,20,20,1,0,0
erlang,3,20,20,5,0,0
erlang,3,20,20,10,0,0
erlang,3,20,20,15,0,0
erlang,3,20,20,20,0,0
erlang,3,50,10,1,11,14
erlang,3,50,10,5,17,18
erlang,3,50,10,10,14,16
erlang,3,50,10,15,14,16
erlang,3,50,10,20,28,21
erlang,3,50,15,1,5,6
erlang,3,50,15,5,5,7
erlang,3,50,15,10,10,12
erlang,3,50,15,15,8,10
erlang,3,50,15,20,8,9
erlang,3,50,20,1,2,3
erlang,3,50,20,5,2,6
erlang,3,50,20,10,4,6
erlang,3,50,20,15,6,6
erlang,3,50,20,20,6,8
erlang,5,10,10,1,0,0
erlang,5,10,10,5,0,0
erlang,5,10,10,10,0,0
erlang,5,10,10,15,0,0
erlang,5,10,10,20,0,0
erlang,5,10,15,1,0,0
erlang,5,10,15,5,0,0
erlang,5,10,15,10,0,0
erlang,5,10,15,15,0,0
erlang,5,10,15,20,0,0
erlang,5,10,20,1,0,0
erlang,5,10,20,5,0,0
erlang,5,10,20,10,0,0
erlang,5,10,20,15,0,0
erlang,5,10,20,20,0,0
erlang,5,15,10,1,2,2
erlang,5,15,10,5,3,5
erlang,5,15,10,10,3,4
erlang,5,15,10,15,3,5
erlang,5,15,10,20,2,3
erlang,5,15,15,1,0,1
erlang,5,15,15,5,0,1
erlang,5,15,15,10,1,1
erlang,5,15,15,15,1,1
erlang,5,15,15,20,1,1
erlang,5,15,20,1,0,0
erlang,5,15,20,5,0,0
erlang,5,15,20,10,0,0
erlang,5,15,20,15,0,0
erlang,5,15,20,20,0,0
erlang,5,20,10,1,30,21
erlang,5,20,10,5,30,23
erlang,5,20,10,10,30,25
erlang,5,20,10,15,30,22
erlang,5,20,10,20,27,21
erlang,5,20,15,1,4,7
erlang,5,20,15,5,6,9
erlang,5,20,15,10,6,9
erlang,5,20,15,15,7,10
erlang,5,20,15,20,4,6
erlang,5,20,20,1,2,2
erlang,5,20,20,5,2,3
erlang,5,20,20,10,2,3
erlang,5,20,20,15,2,3
erlang,5,20,20,20,3,3
erlang,5,50,10,1,30,30
erlang,5,50,10,5,30,30
erlang,5,50,10,10,30,30
