Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,IN Square 1 Intersection 1 3,10,10,1,0,0
erlang,IN Square 1 Intersection 1 3,10,10,5,0,0
erlang,IN Square 1 Intersection 1 3,10,10,10,0,0
erlang,IN Square 1 Intersection 1 3,10,10,15,0,0
erlang,IN Square 1 Intersection 1 3,10,10,20,0,0
erlang,IN Square 1 Intersection 1 3,10,15,1,0,0
erlang,IN Square 1 Intersection 1 3,10,15,5,0,0
erlang,IN Square 1 Intersection 1 3,10,15,10,0,0
erlang,IN Square 1 Intersection 1 3,10,15,15,0,0
erlang,IN Square 1 Intersection 1 3,10,15,20,0,0
erlang,IN Square 1 Intersection 1 3,10,20,1,0,0
erlang,IN Square 1 Intersection 1 3,10,20,5,0,0
erlang,IN Square 1 Intersection 1 3,10,20,10,0,0
erlang,IN Square 1 Intersection 1 3,10,20,15,0,0
erlang,IN Square 1 Intersection 1 3,10,20,20,0,0
erlang,IN Square 1 Intersection 1 3,15,10,1,3,3
erlang,IN Square 1 Intersection 1 3,15,10,5,0,0
erlang,IN Square 1 Intersection 1 3,15,10,10,0,0
erlang,IN Square 1 Intersection 1 3,15,10,15,0,0
erlang,IN Square 1 Intersection 1 3,15,10,20,0,0
erlang,IN Square 1 Intersection 1 3,15,15,1,1,1
erlang,IN Square 1 Intersection 1 3,15,15,5,0,0
erlang,IN Square 1 Intersection 1 3,15,15,10,0,0
erlang,IN Square 1 Intersection 1 3,15,15,15,0,0
erlang,IN Square 1 Intersection 1 3,15,15,20,0,0
erlang,IN Square 1 Intersection 1 3,15,20,1,0,1
erlang,IN Square 1 Intersection 1 3,15,20,5,0,0
erlang,IN Square 1 Intersection 1 3,15,20,10,0,0
erlang,IN Square 1 Intersection 1 3,15,20,15,0,0
erlang,IN Square 1 Intersection 1 3,15,20,20,0,0
erlang,IN Square 1 Intersection 1 3,20,10,1,6,11
erlang,IN Square 1 Intersection 1 3,20,10,5,2,2
erlang,IN Square 1 Intersection 1 3,20,10,10,1,1
erlang,IN Square 1 Intersection 1 3,20,10,15,0,0
erlang,IN Square 1 Intersection 1 3,20,10,20,0,0
erlang,IN Square 1 Intersection 1 3,20,15,1,4,6
erlang,IN Square 1 Intersection 1 3,20,15,5,0,0
erlang,IN Square 1 Intersection 1 3,20,15,10,0,0
erlang,IN Square 1 Intersection 1 3,20,15,15,0,0
erlang,IN Square 1 Intersection 1 3,20,15,20,0,0
erlang,IN Square 1 Intersection 1 3,20,20,1,2,3
erlang,IN Square 1 Intersection 1 3,20,20,5,0,0
erlang,IN Square 1 Intersection 1 3,20,20,10,0,0
erlang,IN Square 1 Intersection 1 3,20,20,15,0,0
erlang,IN Square 1 Intersection 1 3,20,20,20,0,0
erlang,IN Square 1 Intersection 1 3,50,10,1,60,59
erlang,IN Square 1 Intersection 1 3,50,10,5,60,53
erlang,IN Square 1 Intersection 1 3,50,10,10,52,38
erlang,IN Square 1 Intersection 1 3,50,10,15,26,30
erlang,IN Square 1 Intersection 1 3,50,10,20,10,18
erlang,IN Square 1 Intersection 1 3,50,15,1,60,58
erlang,IN Square 1 Intersection 1 3,50,15,5,60,45
erlang,IN Square 1 Intersection 1 3,50,15,10,24,27
erlang,IN Square 1 Intersection 1 3,50,15,15,11,15
erlang,IN Square 1 Intersection 1 3,50,15,20,5,9
erlang,IN Square 1 Intersection 1 3,50,20,1,60,55
erlang,IN Square 1 Intersection 1 3,50,20,5,52,39
erlang,IN Square 1 Intersection 1 3,50,20,10,19,20
erlang,IN Square 1 Intersection 1 3,50,20,15,5,7
erlang,IN Square 1 Intersection 1 3,50,20,20,3,4
erlang,IN Square 1 Intersection 1 5,10,10,1,60,53
erlang,IN Square 1 Intersection 1 5,10,10,5,5,7
erlang,IN Square 1 Intersection 1 5,10,10,10,1,1
erlang,IN Square 1 Intersection 1 5,10,10,15,0,0
erlang,IN Square 1 Intersection 1 5,10,10,20,0,0
erlang,IN Square 1 Intersection 1 5,10,15,1,13,19
erlang,IN Square 1 Intersection 1 5,10,15,5,1,1
erlang,IN Square 1 Intersection 1 5,10,15,10,0,0
erlang,IN Square 1 Intersection 1 5,10,15,15,0,0
erlang,IN Square 1 Intersection 1 5,10,15,20,0,0
erlang,IN Square 1 Intersection 1 5,10,20,1,10,12
erlang,IN Square 1 Intersection 1 5,10,20,5,0,0
erlang,IN Square 1 Intersection 1 5,10,20,10,0,0
erlang,IN Square 1 Intersection 1 5,10,20,15,0,0
erlang,IN Square 1 Intersection 1 5,10,20,20,0,0
erlang,IN Square 1 Intersection 1 5,15,10,1,60,60
erlang,IN Square 1 Intersection 1 5,15,10,5,60,52
erlang,IN Square 1 Intersection 1 5,15,10,10,24,28
erlang,IN Square 1 Intersection 1 5,15,10,15,7,11
erlang,IN Square 1 Intersection 1 5,15,10,20,6,6
erlang,IN Square 1 Intersection 1 5,15,15,1,60,56
erlang,IN Square 1 Intersection 1 5,15,15,5,15,21
erlang,IN Square 1 Intersection 1 5,15,15,10,4,5
erlang,IN Square 1 Intersection 1 5,15,15,15,1,2
erlang,IN Square 1 Intersection 1 5,15,15,20,1,1
erlang,IN Square 1 Intersection 1 5,15,20,1,60,57
erlang,IN Square 1 Intersection 1 5,15,20,5,4,7
erlang,IN Square 1 Intersection 1 5,15,20,10,1,2
erlang,IN Square 1 Intersection 1 5,15,20,15,1,1
erlang,IN Square 1 Intersection 1 5,15,20,20,0,0
erlang,IN Square 1 Intersection 1 5,20,10,1,60,60
erlang,IN Square 1 Intersection 1 5,20,10,5,60,60
erlang,IN Square 1 Intersection 1 5,20,10,10,60,56
erlang,IN Square 1 Intersection 1 5,20,10,15,60,54
erlang,IN Square 1 Intersection 1 5,20,10,20,36,33
erlang,IN Square 1 Intersection 1 5,20,15,1,60,60
erlang,IN Square 1 Intersection 1 5,20,15,5,60,59
erlang,IN Square 1 Intersection 1 5,20,15,10,50,38
erlang,IN Square 1 Intersection 1 5,20,15,15,11,17
erlang,IN Square 1 Intersection 1 5,20,15,20,9,10
erlang,IN Square 1 Intersection 1 5,20,20,1,60,59
erlang,IN Square 1 Intersection 1 5,20,20,5,60,49
erlang,IN Square 1 Intersection 1 5,20,20,10,7,13
erlang,IN Square 1 Intersection 1 5,20,20,15,4,4
erlang,IN Square 1 Intersection 1 5,20,20,20,1,2
erlang,IN Square 1 Intersection 1 5,50,10,1,60,60
erlang,IN Square 1 Intersection 1 5,50,10,5,60,60
erlang,IN Square 1 Intersection 1 5,50,10,10,60,60
erlang,IN Square 1 Intersection 1 5,50,10,15,60,60
erlang,IN Square 1 Intersection 1 5,50,10,20,60,60
erlang,IN Square 1 Intersection 1 5,50,15,1,60,60
erlang,IN Square 1 Intersection 1 5,50,15,5,60,60
erlang,IN Square 1 Intersection 1 5,50,15,10,60,60
erlang,IN Square 1 Intersection 1 5,50,15,15,60,60
erlang,IN Square 1 Intersection 1 5,50,15,20,60,60
erlang,IN Square 1 Intersection 1 5,50,20,1,60,60
erlang,IN Square 1 Intersection 1 5,50,20,5,60,60
erlang,IN Square 1 Intersection 1 5,50,20,10,60,60
erlang,IN Square 1 Intersection 1 5,50,20,15,60,58
erlang,IN Square 1 Intersection 1 5,50,20,20,60,60
erlang,IN Square 1 Intersection 1 8,10,10,1,60,60
erlang,IN Square 1 Intersection 1 8,10,10,5,60,60
erlang,IN Square 1 Intersection 1 8,10,10,10,60,60
erlang,IN Square 1 Intersection 1 8,10,10,15,60,60
erlang,IN Square 1 Intersection 1 8,10,10,20,60,58
erlang,IN Square 1 Intersection 1 8,10,15,1,60,60
erlang,IN Square 1 Intersection 1 8,10,15,5,60,60
erlang,IN Square 1 Intersection 1 8,10,15,10,60,53
erlang,IN Square 1 Intersection 1 8,10,15,15,38,36
erlang,IN Square 1 Intersection 1 8,10,15,20,14,18
erlang,IN Square 1 Intersection 1 8,10,20,1,60,60
erlang,IN Square 1 Intersection 1 8,10,20,5,60,56
erlang,IN Square 1 Intersection 1 8,10,20,10,16,22
erlang,IN Square 1 Intersection 1 8,10,20,15,3,5
erlang,IN Square 1 Intersection 1 8,10,20,20,1,2
erlang,IN Square 1 Intersection 1 8,15,10,1,60,60
erlang,IN Square 1 Intersection 1 8,15,10,5,60,60
erlang,IN Square 1 Intersection 1 8,15,10,10,60,60
erlang,IN Square 1 Intersection 1 8,15,10,15,60,60
