Detection Run 1
#Info# Executed steps before collision: 8, Found collision: false
Turtle 1 :[(-1,-1), (10,3), (11,3), (11,2), (11,3), (11,4), (12,4), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (15,11), (16,11), (17,11), (18,11), (19,11), (19,12), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (13,2), (13,3), (14,3), (14,4), (15,4), (15,5), (15,6), (14,6)]
Turtle 4 :[(-4,-4), (13,9), (13,10), (13,11), (12,11), (12,12), (11,12), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (16,6), (15,6), (15,5), (14,5), (13,5), (13,4), (-5,-5), (-5,-5)]

Detection Run 2
#Info# Executed steps before collision: 7, Found collision: false
Turtle 1 :[(-1,-1), (15,9), (16,9), (16,10), (16,9), (16,8), (16,7), (16,6)]
Turtle 2 :[(-2,-2), (5,19), (4,19), (4,19), (3,19), (-2,-2), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (11,1), (11,0), (10,0), (-3,-3), (-3,-3), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (4,8), (4,7), (5,7), (6,7), (6,6), (7,6), (-4,-4)]
Turtle 5 :[(-5,-5), (15,7), (15,8), (15,9), (15,10), (15,11), (15,12), (-5,-5)]

Fault Detection Run 3
#Info# Executed steps before collision: 3, Found collision: true
Turtle 1 :[(-1,-1), (2,5), (2,4), (2,4), (1,4), (1,3), (1,2), (0,2)]
Turtle 2 :[(-2,-2), (19,9), (18,9), (17,9), (16,9), (16,10), (15,10), (-2,-2)]
Turtle 3 :[(-3,-3), (2,4), (1,4), (2,4), (2,3), (2,2), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (1,15), (0,15), (0,16), (0,17), (0,18), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (4,17), (5,17), (6,17), (7,17), (7,16), (7,15), (-5,-5)]

