Detection Run 1
#Info# Executed steps before collision: 6, Found collision: false
Turtle 1 :[(-1,-1), (45,16), (45,17), (45,18), (45,19), (46,19), (46,20)]
Turtle 2 :[(-2,-2), (43,17), (43,16), (44,16), (45,16), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (45,21), (45,22), (44,22), (44,23), (44,24), (44,25)]
Turtle 4 :[(-4,-4), (36,11), (35,11), (34,11), (34,12), (33,12), (-4,-4)]
Turtle 5 :[(-5,-5), (10,18), (9,18), (8,18), (7,18), (6,18), (6,17)]

Detection Run 2
#Info# Executed steps before collision: 8, Found collision: false
Turtle 1 :[(-1,-1), (16,25), (16,24), (16,23), (17,23), (17,22), (-1,-1), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (43,7), (43,8), (43,8), (43,8), (43,9), (44,9), (45,9), (45,10)]
Turtle 3 :[(-3,-3), (10,2), (11,2), (11,1), (12,1), (12,0), (13,0), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (13,4), (13,3), (13,2), (12,2), (11,2), (10,2), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (30,27), (31,27), (31,28), (32,28), (32,28), (32,29), (32,30), (-5,-5)]

Fault Detection Run 3
#Info# Executed steps before collision: 6, Found collision: true
Turtle 1 :[(-1,-1), (42,24), (41,24), (41,23), (41,23), (41,22), (40,22), (39,22), (-1,-1)]
Turtle 2 :[(-2,-2), (45,21), (45,21), (45,22), (46,22), (47,22), (47,23), (48,23), (-2,-2)]
Turtle 3 :[(-3,-3), (37,20), (38,20), (39,20), (39,21), (40,21), (40,22), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (27,27), (26,27), (25,27), (24,27), (24,28), (24,29), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (19,20), (18,20), (18,19), (18,19), (18,18), (18,17), (18,17), (17,17)]

