Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,3,10,10,1,0,0
erlang,3,10,10,5,0,0
erlang,3,10,10,10,0,0
erlang,3,10,10,15,0,0
erlang,3,10,10,20,0,0
erlang,3,10,15,1,0,0
erlang,3,10,15,5,0,0
erlang,3,10,15,10,0,0
erlang,3,10,15,15,0,0
erlang,3,10,15,20,0,0
erlang,3,10,20,1,0,0
erlang,3,10,20,5,0,0
erlang,3,10,20,10,0,0
erlang,3,10,20,15,0,0
erlang,3,10,20,20,0,0
erlang,3,15,10,1,0,0
erlang,3,15,10,5,0,0
erlang,3,15,10,10,0,0
erlang,3,15,10,15,0,0
erlang,3,15,10,20,0,0
erlang,3,15,15,1,0,0
erlang,3,15,15,5,0,0
erlang,3,15,15,10,0,0
erlang,3,15,15,15,0,0
erlang,3,15,15,20,0,0
erlang,3,15,20,1,0,0
erlang,3,15,20,5,0,0
erlang,3,15,20,10,0,0
erlang,3,15,20,15,0,0
erlang,3,15,20,20,0,0
erlang,3,20,10,1,0,0
erlang,3,20,10,5,0,0
erlang,3,20,10,10,0,0
erlang,3,20,10,15,0,0
erlang,3,20,10,20,0,0
erlang,3,20,15,1,0,0
erlang,3,20,15,5,0,0
erlang,3,20,15,10,0,0
erlang,3,20,15,15,0,0
erlang,3,20,15,20,0,0
erlang,3,20,20,1,0,0
erlang,3,20,20,5,0,0
erlang,3,20,20,10,0,0
erlang,3,20,20,15,0,0
erlang,3,20,20,20,0,0
erlang,3,50,10,1,5,6
erlang,3,50,10,5,7,9
erlang,3,50,10,10,8,13
erlang,3,50,10,15,10,14
erlang,3,50,10,20,6,13
erlang,3,50,15,1,3,3
erlang,3,50,15,5,2,4
erlang,3,50,15,10,5,5
erlang,3,50,15,15,6,11
erlang,3,50,15,20,5,9
erlang,3,50,20,1,1,1
erlang,3,50,20,5,2,2
erlang,3,50,20,10,2,3
erlang,3,50,20,15,2,3
erlang,3,50,20,20,3,5
erlang,5,10,10,1,0,0
erlang,5,10,10,5,0,0
erlang,5,10,10,10,0,0
erlang,5,10,10,15,0,0
erlang,5,10,10,20,0,0
erlang,5,10,15,1,0,0
erlang,5,10,15,5,0,0
erlang,5,10,15,10,0,0
erlang,5,10,15,15,0,0
erlang,5,10,15,20,0,0
erlang,5,10,20,1,0,0
erlang,5,10,20,5,0,0
erlang,5,10,20,10,0,0
erlang,5,10,20,15,0,0
erlang,5,10,20,20,0,0
erlang,5,15,10,1,3,3
erlang,5,15,10,5,2,3
erlang,5,15,10,10,2,3
erlang,5,15,10,15,2,2
erlang,5,15,10,20,1,2
erlang,5,15,15,1,0,0
erlang,5,15,15,5,0,0
erlang,5,15,15,10,0,1
erlang,5,15,15,15,0,0
erlang,5,15,15,20,0,0
erlang,5,15,20,1,0,0
erlang,5,15,20,5,0,0
erlang,5,15,20,10,0,0
erlang,5,15,20,15,0,0
erlang,5,15,20,20,0,0
erlang,5,20,10,1,37,37
erlang,5,20,10,5,26,32
erlang,5,20,10,10,6,19
erlang,5,20,10,15,11,25
erlang,5,20,10,20,13,20
erlang,5,20,15,1,2,3
erlang,5,20,15,5,3,6
erlang,5,20,15,10,3,4
erlang,5,20,15,15,7,8
erlang,5,20,15,20,2,3
erlang,5,20,20,1,1,1
erlang,5,20,20,5,1,2
erlang,5,20,20,10,1,2
erlang,5,20,20,15,2,2
erlang,5,20,20,20,1,1
erlang,5,50,10,1,60,60
erlang,5,50,10,5,60,60
erlang,5,50,10,10,60,60
