Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,3,10,10,1,0,0
erlang,3,10,10,5,0,0
erlang,3,10,10,10,0,0
erlang,3,10,10,15,0,0
erlang,3,10,10,20,0,0
erlang,3,10,15,1,0,0
erlang,3,10,15,5,0,0
erlang,3,10,15,10,0,0
erlang,3,10,15,15,0,0
erlang,3,10,15,20,0,0
erlang,3,10,20,1,0,0
erlang,3,10,20,5,0,0
erlang,3,10,20,10,0,0
erlang,3,10,20,15,0,0
erlang,3,10,20,20,0,0
erlang,3,15,10,1,1,2
erlang,3,15,10,5,0,0
erlang,3,15,10,10,0,0
erlang,3,15,10,15,0,0
erlang,3,15,10,20,0,0
erlang,3,15,15,1,0,1
erlang,3,15,15,5,0,0
erlang,3,15,15,10,0,0
erlang,3,15,15,15,0,0
erlang,3,15,15,20,0,0
erlang,3,15,20,1,1,1
erlang,3,15,20,5,0,0
erlang,3,15,20,10,0,0
erlang,3,15,20,15,0,0
erlang,3,15,20,20,0,0
erlang,3,20,10,1,8,10
erlang,3,20,10,5,1,2
erlang,3,20,10,10,0,0
erlang,3,20,10,15,0,0
erlang,3,20,10,20,0,0
erlang,3,20,15,1,2,3
erlang,3,20,15,5,0,1
erlang,3,20,15,10,0,0
erlang,3,20,15,15,0,0
erlang,3,20,15,20,0,0
erlang,3,20,20,1,2,3
erlang,3,20,20,5,0,0
erlang,3,20,20,10,0,0
erlang,3,20,20,15,0,0
erlang,3,20,20,20,0,0
erlang,3,50,10,1,60,60
erlang,3,50,10,5,60,48
erlang,3,50,10,10,59,47
erlang,3,50,10,15,34,34
erlang,3,50,10,20,10,17
erlang,3,50,15,1,60,57
erlang,3,50,15,5,45,41
erlang,3,50,15,10,16,19
erlang,3,50,15,15,14,21
erlang,3,50,15,20,8,9
erlang,3,50,20,1,60,56
erlang,3,50,20,5,36,39
erlang,3,50,20,10,19,21
erlang,3,50,20,15,6,6
erlang,3,50,20,20,7,7
erlang,5,10,10,1,60,55
erlang,5,10,10,5,8,10
erlang,5,10,10,10,1,1
erlang,5,10,10,15,0,1
erlang,5,10,10,20,0,0
erlang,5,10,15,1,33,36
erlang,5,10,15,5,1,2
erlang,5,10,15,10,0,0
erlang,5,10,15,15,0,0
erlang,5,10,15,20,0,0
erlang,5,10,20,1,12,15
erlang,5,10,20,5,0,0
erlang,5,10,20,10,0,0
erlang,5,10,20,15,0,0
erlang,5,10,20,20,0,0
erlang,5,15,10,1,60,60
erlang,5,15,10,5,60,56
erlang,5,15,10,10,32,32
erlang,5,15,10,15,6,8
erlang,5,15,10,20,3,5
erlang,5,15,15,1,60,57
erlang,5,15,15,5,22,27
erlang,5,15,15,10,3,5
erlang,5,15,15,15,1,2
erlang,5,15,15,20,1,1
erlang,5,15,20,1,60,60
erlang,5,15,20,5,6,10
erlang,5,15,20,10,1,1
erlang,5,15,20,15,0,0
erlang,5,15,20,20,0,0
erlang,5,20,10,1,60,60
erlang,5,20,10,5,60,60
erlang,5,20,10,10,60,57
erlang,5,20,10,15,60,56
erlang,5,20,10,20,27,32
erlang,5,20,15,1,60,60
erlang,5,20,15,5,60,58
erlang,5,20,15,10,15,28
erlang,5,20,15,15,10,13
erlang,5,20,15,20,6,7
erlang,5,20,20,1,60,60
erlang,5,20,20,5,60,51
erlang,5,20,20,10,13,17
erlang,5,20,20,15,2,4
erlang,5,20,20,20,2,3
erlang,5,50,10,1,60,60
erlang,5,50,10,5,60,60
erlang,5,50,10,10,60,60
