Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,3,10,10,1,0,0
erlang,3,10,10,5,0,0
erlang,3,10,10,10,0,0
erlang,3,10,10,15,0,0
erlang,3,10,10,20,0,0
erlang,3,10,15,1,0,0
erlang,3,10,15,5,0,0
erlang,3,10,15,10,0,0
erlang,3,10,15,15,0,0
erlang,3,10,15,20,0,0
erlang,3,10,20,1,0,0
erlang,3,10,20,5,0,0
erlang,3,10,20,10,0,0
erlang,3,10,20,15,0,0
erlang,3,10,20,20,0,0
erlang,3,15,10,1,3,3
erlang,3,15,10,5,0,0
erlang,3,15,10,10,0,0
erlang,3,15,10,15,0,0
erlang,3,15,10,20,0,0
erlang,3,15,15,1,1,1
erlang,3,15,15,5,0,0
erlang,3,15,15,10,0,0
erlang,3,15,15,15,0,0
erlang,3,15,15,20,0,0
erlang,3,15,20,1,0,1
erlang,3,15,20,5,0,0
erlang,3,15,20,10,0,0
erlang,3,15,20,15,0,0
erlang,3,15,20,20,0,0
erlang,3,20,10,1,6,11
erlang,3,20,10,5,2,2
erlang,3,20,10,10,1,1
erlang,3,20,10,15,0,0
erlang,3,20,10,20,0,0
erlang,3,20,15,1,4,6
erlang,3,20,15,5,0,0
erlang,3,20,15,10,0,0
erlang,3,20,15,15,0,0
erlang,3,20,15,20,0,0
erlang,3,20,20,1,2,3
erlang,3,20,20,5,0,0
erlang,3,20,20,10,0,0
erlang,3,20,20,15,0,0
erlang,3,20,20,20,0,0
erlang,3,50,10,1,60,59
erlang,3,50,10,5,60,53
erlang,3,50,10,10,52,38
erlang,3,50,10,15,26,30
erlang,3,50,10,20,10,18
erlang,3,50,15,1,60,58
erlang,3,50,15,5,60,45
erlang,3,50,15,10,24,27
erlang,3,50,15,15,11,15
erlang,3,50,15,20,5,9
erlang,3,50,20,1,60,55
erlang,3,50,20,5,52,39
erlang,3,50,20,10,19,20
erlang,3,50,20,15,5,7
erlang,3,50,20,20,3,4
erlang,5,10,10,1,60,53
erlang,5,10,10,5,5,7
erlang,5,10,10,10,1,1
erlang,5,10,10,15,0,0
erlang,5,10,10,20,0,0
erlang,5,10,15,1,13,19
erlang,5,10,15,5,1,1
erlang,5,10,15,10,0,0
erlang,5,10,15,15,0,0
erlang,5,10,15,20,0,0
erlang,5,10,20,1,10,12
erlang,5,10,20,5,0,0
erlang,5,10,20,10,0,0
erlang,5,10,20,15,0,0
erlang,5,10,20,20,0,0
erlang,5,15,10,1,60,60
erlang,5,15,10,5,60,52
erlang,5,15,10,10,24,28
erlang,5,15,10,15,7,11
erlang,5,15,10,20,6,6
erlang,5,15,15,1,60,56
erlang,5,15,15,5,15,21
erlang,5,15,15,10,4,5
erlang,5,15,15,15,1,2
erlang,5,15,15,20,1,1
erlang,5,15,20,1,60,57
erlang,5,15,20,5,4,7
erlang,5,15,20,10,1,2
erlang,5,15,20,15,1,1
erlang,5,15,20,20,0,0
erlang,5,20,10,1,60,60
erlang,5,20,10,5,60,60
erlang,5,20,10,10,60,56
erlang,5,20,10,15,60,54
erlang,5,20,10,20,36,33
erlang,5,20,15,1,60,60
erlang,5,20,15,5,60,59
erlang,5,20,15,10,50,38
erlang,5,20,15,15,11,17
erlang,5,20,15,20,9,10
erlang,5,20,20,1,60,59
erlang,5,20,20,5,60,49
erlang,5,20,20,10,7,13
erlang,5,20,20,15,4,4
erlang,5,20,20,20,1,2
erlang,5,50,10,1,60,60
erlang,5,50,10,5,60,60
erlang,5,50,10,10,60,60
